true_flow_duration,predicted_flow_duration,absolute_error
0.0,0.011,0.011
0.0,0.0111,0.0111
0.0,0.0114,0.0114
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0122,0.0122
0.0,0.0125,0.0125
0.0,0.0127,0.0127
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0139,0.0139
0.0,0.014,0.014
0.0,0.0136,0.0136
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0136,0.0136
0.0,0.0126,0.0126
0.0,0.0137,0.0137
0.0,0.0125,0.0125
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.0121,0.0121
0.0,0.0125,0.0125
0.0,0.0129,0.0129
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0134,0.0134
0.0,0.0135,0.0135
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0139,0.0139
0.0,0.0138,0.0138
0.0,0.0137,0.0137
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0135,0.0135
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0136,0.0136
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0138,0.0138
0.0,0.0138,0.0138
0.0,0.0138,0.0138
0.0,0.0137,0.0137
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0139,0.0139
0.0,0.0139,0.0139
0.0,0.0126,0.0126
0.0,0.0136,0.0136
0.0,0.0122,0.0122
0.0,0.0115,0.0115
0.0,0.0114,0.0113
0.0,0.0115,0.0115
0.0,0.0121,0.0121
0.0,0.0126,0.0126
0.0,0.0115,0.0115
0.0,0.0133,0.0133
0.0,0.0124,0.0124
0.0,0.0119,0.0119
0.0,0.0119,0.0119
0.0,0.0124,0.0124
0.0,0.0126,0.0126
0.0,0.0128,0.0128
0.0,0.0131,0.0131
0.0,0.0132,0.0132
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0135,0.0135
0.0,0.0138,0.0138
0.0,0.0139,0.0139
0.0,0.014,0.014
0.0,0.014,0.0139
0.0,0.0139,0.0139
0.0,0.0139,0.0139
0.0,0.014,0.014
0.0,0.0134,0.0134
0.0,0.0134,0.0134
0.0,0.0134,0.0134
0.0,0.0123,0.0123
0.0,0.0131,0.0131
0.0,0.0118,0.0118
0.0,0.0114,0.0114
0.0,0.0115,0.0115
0.0,0.0119,0.0119
0.0,0.0122,0.0122
0.0,0.0126,0.0125
0.0,0.0126,0.0126
0.0,0.0128,0.0128
0.0,0.0131,0.0131
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0132,0.0131
0.0,0.013,0.013
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.013,0.013
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0123,0.0123
0.0,0.0102,0.0102
0.0,0.0092,0.0092
0.0,0.0091,0.0091
0.0,0.0089,0.0089
0.0,0.0102,0.0102
0.0,0.0085,0.0085
0.0,0.0077,0.0077
0.0,0.0075,0.0075
0.0,0.0077,0.0077
0.0,0.008,0.008
0.0,0.0083,0.0083
0.0,0.0087,0.0087
0.0,0.0091,0.0091
0.0,0.0096,0.0096
0.0,0.01,0.01
0.0,0.0116,0.0116
0.0,0.0096,0.0096
0.0,0.0079,0.0079
0.0,0.0075,0.0075
0.0,0.007,0.007
0.0,0.0068,0.0068
0.0,0.0069,0.0069
0.0,0.0071,0.0071
0.0,0.0082,0.0082
0.0,0.0085,0.0085
0.0,0.0089,0.0089
0.0,0.0093,0.0093
0.0,0.0096,0.0096
0.0,0.0099,0.0099
0.0,0.0102,0.0102
0.0,0.0104,0.0104
0.0,0.0107,0.0107
0.0,0.011,0.011
0.0,0.0124,0.0124
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0134,0.0134
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0136,0.0136
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0122,0.0122
0.0,0.0132,0.0132
0.0,0.0119,0.0119
0.0,0.0113,0.0113
0.0,0.0116,0.0116
0.0,0.0097,0.0097
0.0,0.0123,0.0123
0.0,0.0117,0.0117
0.0,0.0115,0.0115
0.0,0.0094,0.0094
0.0,0.0124,0.0124
0.0,0.0118,0.0118
0.0,0.0118,0.0118
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.0121,0.0121
0.0,0.0121,0.0121
0.0,0.0113,0.0113
0.0,0.0123,0.0123
0.0,0.0144,0.0144
0.0,0.013,0.013
0.0,0.0124,0.0124
0.0,0.009,0.009
0.0,0.0127,0.0127
0.0,0.0121,0.0121
0.0,0.0114,0.0114
0.0,0.0083,0.0083
0.0,0.0119,0.0119
0.0,0.0114,0.0114
0.0,0.0106,0.0106
0.0,0.0105,0.0105
0.0,0.0103,0.0103
0.0,0.0102,0.0102
0.0,0.0088,0.0088
0.0,0.0115,0.0115
0.0,0.0111,0.011
0.0,0.0109,0.0109
0.0,0.0116,0.0116
0.0,0.012,0.012
0.0,0.0122,0.0122
0.0,0.0125,0.0125
0.0,0.0127,0.0127
0.0,0.0132,0.0132
0.0,0.0136,0.0135
0.0,0.0137,0.0137
0.0,0.0138,0.0137
0.0,0.0138,0.0138
0.0,0.0139,0.0139
0.0,0.0138,0.0138
0.0,0.0139,0.0139
0.0,0.0138,0.0138
0.0,0.014,0.014
0.0,0.0141,0.0141
0.0,0.0137,0.0137
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0124,0.0124
0.0,0.0124,0.0124
0.0,0.0131,0.0131
0.0,0.0114,0.0114
0.0,0.011,0.011
0.0,0.0113,0.0113
0.0,0.0116,0.0116
0.0,0.0121,0.0121
0.0,0.0125,0.0125
0.0,0.0126,0.0126
0.0,0.0128,0.0128
0.0,0.0129,0.0128
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0133,0.0133
0.0,0.0135,0.0135
0.0,0.0136,0.0135
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0136,0.0136
0.0,0.013,0.0129
0.0,0.0135,0.0135
0.0,0.0102,0.0102
0.0,0.0125,0.0124
0.0,0.0115,0.0114
0.0,0.0111,0.0111
0.0,0.0113,0.0113
0.0,0.0115,0.0115
0.0,0.0099,0.0099
0.0,0.0124,0.0124
0.0,0.0117,0.0117
0.0,0.0116,0.0116
0.0,0.0114,0.0114
0.0,0.0115,0.0114
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0119,0.0119
0.0,0.0121,0.0121
0.0,0.0122,0.0122
0.0,0.0123,0.0123
0.0,0.0129,0.0129
0.0,0.013,0.0129
0.0,0.0132,0.0132
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0134,0.0134
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0128,0.0128
0.0,0.0133,0.0133
0.0,0.0116,0.0116
0.0,0.0111,0.0111
0.0,0.0111,0.0111
0.0,0.0114,0.0114
0.0,0.0118,0.0117
0.0,0.0121,0.0121
0.0,0.0121,0.0121
0.0,0.0123,0.0123
0.0,0.0127,0.0127
0.0,0.0129,0.0129
0.0,0.013,0.0129
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0129,0.0129
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0122,0.0122
0.0,0.0101,0.0101
0.0,0.0091,0.0091
0.0,0.009,0.009
0.0,0.0092,0.0092
0.0,0.0096,0.0096
0.0,0.01,0.01
0.0,0.0105,0.0105
0.0,0.0108,0.0108
0.0,0.0112,0.0112
0.0,0.0114,0.0114
0.0,0.0117,0.0117
0.0,0.0119,0.0118
0.0,0.012,0.012
0.0,0.0121,0.0121
0.0,0.0122,0.0122
0.0,0.0123,0.0122
0.0,0.0123,0.0123
0.0,0.0125,0.0125
0.0,0.0131,0.0131
0.0,0.0131,0.0131
0.0,0.013,0.013
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.013,0.013
0.0,0.0127,0.0127
0.0,0.0123,0.0123
0.0,0.0101,0.0101
0.0,0.0091,0.0091
0.0,0.009,0.009
0.0,0.0092,0.0092
0.0,0.0095,0.0095
0.0,0.01,0.01
0.0,0.0103,0.0103
0.0,0.0105,0.0105
0.0,0.0108,0.0108
0.0,0.011,0.011
0.0,0.0113,0.0113
0.0,0.0114,0.0114
0.0,0.0115,0.0115
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0117,0.0117
0.0,0.0097,0.0097
0.0,0.0089,0.0089
0.0,0.0091,0.0091
0.0,0.0093,0.0093
0.0,0.0098,0.0098
0.0,0.0102,0.0102
0.0,0.0106,0.0106
0.0,0.0109,0.0109
0.0,0.0112,0.0112
0.0,0.0114,0.0114
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0119,0.0119
0.0,0.0118,0.0118
0.0,0.0098,0.0098
0.0,0.009,0.009
0.0,0.0087,0.0087
0.0,0.009,0.009
0.0,0.0097,0.0097
0.0,0.0098,0.0098
0.0,0.0107,0.0107
0.0,0.009,0.0089
0.0,0.0081,0.0081
0.0,0.0079,0.0079
0.0,0.0081,0.0081
0.0,0.0083,0.0083
0.0,0.0086,0.0086
0.0,0.009,0.0089
0.0,0.0093,0.0093
0.0,0.0096,0.0096
0.0,0.0098,0.0098
0.0,0.0101,0.0101
0.0,0.0115,0.0115
0.0,0.0117,0.0117
0.0,0.0118,0.0118
0.0,0.0119,0.0119
0.0,0.012,0.012
0.0,0.0121,0.0121
0.0,0.0123,0.0123
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0126
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0127,0.0126
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0128,0.0128
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0122,0.0122
0.0,0.0108,0.0108
0.0,0.0128,0.0128
0.0,0.0101,0.0101
0.0,0.0085,0.0085
0.0,0.0071,0.0071
0.0,0.0059,0.0059
0.0,0.0052,0.0052
0.0,0.0048,0.0048
0.0,0.0047,0.0047
0.0,0.0049,0.0049
0.0,0.0054,0.0054
0.0,0.0059,0.0059
0.0,0.0063,0.0063
0.0,0.0068,0.0068
0.0,0.0074,0.0074
0.0,0.0079,0.0079
0.0,0.0083,0.0083
0.0,0.0088,0.0088
0.0,0.0108,0.0108
0.0,0.0123,0.0123
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0127,0.0127
0.0,0.0122,0.0122
0.0,0.0129,0.0129
0.0,0.0103,0.0103
0.0,0.0086,0.0086
0.0,0.0077,0.0077
0.0,0.0074,0.0074
0.0,0.0073,0.0073
0.0,0.0075,0.0075
0.0,0.0076,0.0076
0.0,0.0079,0.0079
0.0,0.0084,0.0084
0.0,0.0087,0.0087
0.0,0.009,0.0089
0.0,0.0093,0.0093
0.0,0.0096,0.0096
0.0,0.0099,0.0099
0.0,0.0101,0.0101
0.0,0.0103,0.0103
0.0,0.0106,0.0106
0.0,0.0121,0.0121
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0126,0.0126
0.0,0.0124,0.0124
0.0,0.0121,0.0121
0.0,0.01,0.01
0.0,0.009,0.009
0.0,0.0089,0.0089
0.0,0.0091,0.0091
0.0,0.0095,0.0095
0.0,0.0099,0.0099
0.0,0.0103,0.0103
0.0,0.0107,0.0107
0.0,0.011,0.011
0.0,0.0113,0.0113
0.0,0.0115,0.0115
0.0,0.0117,0.0117
0.0,0.0118,0.0118
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.0121,0.0121
0.0,0.0122,0.0122
0.0,0.0123,0.0123
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0132,0.0132
0.0,0.0135,0.0135
0.0,0.0133,0.0133
0.0,0.0131,0.0131
0.0,0.0154,0.0154
0.0,0.011,0.011
0.0,0.0084,0.0084
0.0,0.0077,0.0077
0.0,0.0072,0.0072
0.0,0.0072,0.0072
0.0,0.0085,0.0085
0.0,0.0093,0.0093
0.0,0.01,0.01
0.0,0.0105,0.0105
0.0,0.0109,0.0109
0.0,0.0113,0.0113
0.0,0.0117,0.0117
0.0,0.0122,0.0122
0.0,0.0124,0.0124
0.0,0.0127,0.0127
0.0,0.0127,0.0127
0.0,0.0125,0.0125
0.0,0.0124,0.0124
0.0,0.0123,0.0123
0.0,0.0127,0.0127
0.0,0.0126,0.0126
0.0,0.0125,0.0125
0.0,0.0125,0.0125
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0176,0.0176
0.0,0.012,0.012
0.0,0.0099,0.0099
0.0,0.0089,0.0089
0.0,0.0091,0.0091
0.0,0.0096,0.0096
0.0,0.0103,0.0103
0.0,0.0111,0.0111
0.0,0.0117,0.0117
0.0,0.0177,0.0177
0.0,0.0127,0.0127
0.0,0.0105,0.0105
0.0,0.01,0.01
0.0,0.0099,0.0099
0.0,0.0102,0.0102
0.0,0.0108,0.0108
0.0,0.0114,0.0114
0.0,0.0119,0.0119
0.0,0.0123,0.0123
0.0,0.0127,0.0127
0.0,0.0132,0.0132
0.0,0.0134,0.0134
0.0,0.0138,0.0138
0.0,0.014,0.014
0.0,0.0142,0.0142
0.0,0.0142,0.0142
0.0,0.0181,0.0181
0.0,0.0138,0.0138
0.0,0.0112,0.0112
0.0,0.0102,0.0102
0.0,0.0101,0.0101
0.0,0.0104,0.0104
0.0,0.0109,0.0109
0.0,0.0115,0.0115
0.0,0.012,0.012
0.0,0.0125,0.0125
0.0,0.013,0.0129
0.0,0.0133,0.0133
0.0,0.0135,0.0135
0.0,0.0138,0.0138
0.0,0.018,0.018
0.0,0.0146,0.0146
0.0,0.0125,0.0125
0.0,0.0115,0.0115
0.0,0.0117,0.0117
0.0,0.0119,0.0119
0.0,0.015,0.015
0.0,0.0125,0.0125
0.0,0.0117,0.0117
0.0,0.0106,0.0106
0.0,0.0111,0.0111
0.0,0.0113,0.0113
0.0,0.0114,0.0114
0.0,0.0117,0.0117
0.0,0.0122,0.0122
0.0,0.0124,0.0124
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0165,0.0165
0.0,0.0133,0.0133
0.0,0.014,0.014
0.0,0.0112,0.0112
0.0,0.0093,0.0093
0.0,0.0091,0.0091
0.0,0.0092,0.0092
0.0,0.0095,0.0095
0.0,0.0105,0.0105
0.0,0.0115,0.0115
0.0,0.0121,0.0121
0.0,0.0126,0.0125
0.0,0.0129,0.0129
0.0,0.0178,0.0178
0.0,0.0128,0.0128
0.0,0.011,0.011
0.0,0.0103,0.0103
0.0,0.01,0.01
0.0,0.0109,0.0109
0.0,0.0113,0.0113
0.0,0.0119,0.0119
0.0,0.0122,0.0122
0.0,0.0127,0.0127
0.0,0.0129,0.0129
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0137,0.0137
0.0,0.0139,0.0139
0.0,0.0139,0.0139
0.0,0.0139,0.0139
0.0,0.0137,0.0137
0.0,0.0136,0.0136
0.0,0.0134,0.0134
0.0,0.0131,0.0131
0.0,0.0137,0.0137
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0136,0.0136
0.0,0.0135,0.0135
0.0,0.0173,0.0173
0.0,0.0135,0.0135
0.0,0.0109,0.0109
0.0,0.0103,0.0103
0.0,0.0104,0.0104
0.0,0.0106,0.0106
0.0,0.0111,0.0111
0.0,0.012,0.012
0.0,0.0126,0.0126
0.0,0.0133,0.0133
0.0,0.0138,0.0138
0.0,0.0139,0.0139
0.0,0.0136,0.0136
0.0,0.0133,0.0133
0.0,0.0173,0.0173
0.0,0.0165,0.0165
0.0,0.0129,0.0129
0.0,0.0099,0.0099
0.0,0.0091,0.0091
0.0,0.009,0.009
0.0,0.0093,0.0093
0.0,0.01,0.01
0.0,0.0107,0.0107
0.0,0.0111,0.0111
0.0,0.0117,0.0117
0.0,0.0119,0.0119
0.0,0.0169,0.0169
0.0,0.0123,0.0123
0.0,0.0106,0.0106
0.0,0.01,0.01
0.0,0.01,0.01
0.0,0.0107,0.0107
0.0,0.0113,0.0113
0.0,0.0116,0.0116
0.0,0.0122,0.0122
0.0,0.0179,0.0179
0.0,0.0127,0.0127
0.0,0.011,0.011
0.0,0.0104,0.0104
0.0,0.0106,0.0106
0.0,0.011,0.011
0.0,0.0112,0.0112
0.0,0.0115,0.0115
0.0,0.0119,0.0119
0.0,0.0123,0.0123
0.0,0.0127,0.0127
0.0,0.0133,0.0133
0.0,0.0135,0.0135
0.0,0.0138,0.0138
0.0,0.0139,0.0139
0.0,0.014,0.014
0.0,0.014,0.014
0.0,0.0141,0.0141
0.0,0.014,0.014
0.0,0.0179,0.0179
0.0,0.0133,0.0133
0.0,0.0109,0.0109
0.0,0.0103,0.0103
0.0,0.0102,0.0102
0.0,0.0107,0.0107
0.0,0.0112,0.0112
0.0,0.017,0.017
0.0,0.0118,0.0118
0.0,0.01,0.01
0.0,0.0095,0.0095
0.0,0.0157,0.0157
0.0,0.0107,0.0107
0.0,0.0093,0.0093
0.0,0.009,0.009
0.0,0.0152,0.0152
0.0,0.0104,0.0104
0.0,0.0091,0.0091
0.0,0.009,0.009
0.0,0.0091,0.0091
0.0,0.0099,0.0099
0.0,0.0103,0.0103
0.0,0.0109,0.0109
0.0,0.0115,0.0115
0.0,0.012,0.012
0.0,0.0123,0.0123
0.0,0.0125,0.0125
0.0,0.0132,0.0132
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0133,0.0133
0.0,0.0186,0.0186
0.0,0.0131,0.0131
0.0,0.0107,0.0107
0.0,0.0099,0.0099
0.0,0.0099,0.0099
0.0,0.0105,0.0105
0.0,0.011,0.011
0.0,0.0115,0.0115
0.0,0.012,0.012
0.0,0.0126,0.0126
0.0,0.0129,0.0129
0.0,0.0131,0.0131
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0137,0.0137
0.0,0.018,0.018
0.0,0.013,0.013
0.0,0.0108,0.0108
0.0,0.01,0.01
0.0,0.0099,0.0099
0.0,0.0158,0.0158
0.0,0.0108,0.0108
0.0,0.0092,0.0092
0.0,0.009,0.009
0.0,0.009,0.009
0.0,0.0093,0.0093
0.0,0.01,0.01
0.0,0.011,0.011
0.0,0.0169,0.0169
0.0,0.0126,0.0126
0.0,0.0152,0.0152
0.0,0.0115,0.0115
0.0,0.0098,0.0098
0.0,0.0092,0.0092
0.0,0.0095,0.0095
0.0,0.0101,0.0101
0.0,0.0109,0.0109
0.0,0.0116,0.0116
0.0,0.012,0.012
0.0,0.0122,0.0122
0.0,0.0126,0.0126
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0134,0.0134
0.0,0.0135,0.0135
0.0,0.0135,0.0135
0.0,0.0136,0.0136
0.0,0.0125,0.0125
0.0,0.0141,0.0141
0.0,0.0171,0.0171
0.0,0.0144,0.0144
0.0,0.0126,0.0126
0.0,0.0118,0.0118
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0123,0.0123
0.0,0.0128,0.0128
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0135,0.0135
0.0,0.0136,0.0136
0.0,0.0137,0.0137
0.0,0.0137,0.0137
0.0,0.0135,0.0135
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0131,0.0131
0.0,0.013,0.013
0.0,0.013,0.013
0.0,0.0132,0.0132
0.0,0.0134,0.0134
0.0,0.0134,0.0134
0.0,0.0136,0.0136
0.0,0.0141,0.0141
0.0,0.0141,0.0141
0.0,0.0138,0.0138
0.0,0.0135,0.0135
0.0,0.0134,0.0134
0.0,0.0134,0.0134
0.0,0.0133,0.0133
0.0,0.0134,0.0134
0.0,0.0136,0.0136
0.0,0.0175,0.0175
0.0,0.013,0.013
0.0,0.0107,0.0107
0.0,0.0098,0.0098
0.0,0.0146,0.0146
0.0,0.0102,0.0102
0.0,0.0084,0.0084
0.0,0.008,0.008
0.0,0.0085,0.0085
0.0,0.0089,0.0089
0.0,0.0101,0.0101
0.0,0.0108,0.0108
0.0,0.0114,0.0114
0.0,0.0119,0.0119
0.0,0.0122,0.0122
0.0,0.0124,0.0124
0.0,0.0125,0.0125
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.0174,0.0174
0.0,0.0132,0.0132
0.0,0.011,0.011
0.0,0.0099,0.0099
0.0,0.0098,0.0098
0.0,0.0156,0.0156
0.0,0.0121,0.0121
0.0,0.0109,0.0109
0.0,0.0104,0.0104
0.0,0.0107,0.0107
0.0,0.011,0.011
0.0,0.011,0.011
0.0,0.0109,0.0109
0.0,0.0116,0.0116
0.0,0.0119,0.0119
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.0174,0.0174
0.0,0.0115,0.0115
0.0,0.0091,0.0091
0.0,0.0087,0.0087
0.0,0.0086,0.0086
0.0,0.0147,0.0147
0.0,0.0094,0.0094
0.0,0.0084,0.0084
0.0,0.008,0.008
0.0,0.0075,0.0075
0.0,0.009,0.009
0.0,0.0097,0.0097
0.0,0.0105,0.0105
0.0,0.0111,0.0111
0.0,0.0119,0.0119
0.0,0.0122,0.0122
0.0,0.0122,0.0122
0.0,0.0128,0.0128
0.0,0.0124,0.0124
0.0,0.0126,0.0126
0.0,0.0129,0.0129
0.0,0.0126,0.0126
0.0,0.0124,0.0124
0.0,0.0122,0.0122
0.0,0.0119,0.0119
0.0,0.012,0.012
0.0,0.0119,0.0119
0.0,0.0173,0.0173
0.0,0.0112,0.0112
0.0,0.0092,0.0092
0.0,0.0082,0.0082
0.0,0.0084,0.0084
0.0,0.0088,0.0088
0.0,0.0094,0.0094
0.0,0.01,0.01
0.0,0.0109,0.0109
0.0,0.0113,0.0113
0.0,0.0121,0.0121
0.0,0.0123,0.0123
0.0,0.0126,0.0126
0.0,0.0127,0.0127
0.0,0.0131,0.0131
0.0,0.0134,0.0134
0.0,0.0137,0.0137
0.0,0.0134,0.0134
0.0,0.0134,0.0134
0.0,0.0129,0.0129
0.0,0.0126,0.0126
0.0,0.0123,0.0123
0.0,0.0121,0.0121
0.0,0.012,0.012
0.0,0.0172,0.0172
0.0,0.0109,0.0109
0.0,0.0087,0.0087
0.0,0.008,0.008
0.0,0.0082,0.0082
0.0,0.0087,0.0087
0.0,0.0093,0.0093
0.0,0.0099,0.0099
0.0,0.0165,0.0165
0.0,0.0104,0.0104
0.0,0.0085,0.0085
0.0,0.0084,0.0084
0.0,0.009,0.009
0.0,0.0095,0.0095
0.0,0.0101,0.0101
0.0,0.0107,0.0107
0.0,0.0111,0.0111
0.0,0.0115,0.0115
0.0,0.0118,0.0118
0.0,0.017,0.017
0.0,0.012,0.012
0.0,0.0101,0.0101
0.0,0.0093,0.0093
0.0,0.0093,0.0093
0.0,0.0095,0.0095
0.0,0.0099,0.0099
0.0,0.0102,0.0102
0.0,0.0103,0.0103
0.0,0.0107,0.0107
0.0,0.0114,0.0114
0.0,0.0119,0.0119
0.0,0.0119,0.0119
0.0,0.0119,0.0119
0.0,0.0119,0.0119
0.0,0.0119,0.0119
0.0,0.0118,0.0118
0.0,0.0118,0.0118
0.0,0.0118,0.0118
0.0,0.0122,0.0122
0.0,0.0127,0.0127
0.0,0.0126,0.0126
0.0,0.0124,0.0124
0.0,0.0176,0.0176
0.0,0.012,0.012
0.0,0.0092,0.0092
0.0,0.0088,0.0088
0.0,0.0112,0.0112
0.0,0.0107,0.0107
0.0,0.0099,0.0099
0.0,0.0093,0.0093
0.0,0.0091,0.0091
0.0,0.0091,0.0091
0.0,0.0092,0.0092
0.0,0.0094,0.0094
0.0,0.015,0.015
0.0,0.0098,0.0098
0.0,0.0067,0.0067
0.0,0.0071,0.0071
0.0,0.0076,0.0076
0.0,0.0131,0.0131
0.0,0.0085,0.0085
0.0,0.0072,0.0072
0.0,0.0069,0.0069
0.0,0.0076,0.0076
0.0,0.0086,0.0086
0.0,0.0098,0.0098
0.0,0.0106,0.0106
0.0,0.011,0.011
0.0,0.0115,0.0115
0.0,0.0117,0.0117
0.0,0.0119,0.0119
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.012,0.012
0.0,0.0182,0.0182
0.0,0.0185,0.0185
0.0,0.0118,0.0118
0.0,0.0142,0.0142
0.0,0.0094,0.0094
0.0,0.0075,0.0075
0.0,0.0072,0.0072
0.0,0.0071,0.0071
0.0,0.0076,0.0076
0.0,0.0082,0.0082
0.0,0.0081,0.0081
0.0,0.0083,0.0083
0.0,0.0096,0.0096
0.0,0.0102,0.0102
0.0,0.0106,0.0106
0.0,0.011,0.011
0.0,0.0112,0.0112
0.0,0.0116,0.0116
0.0,0.0118,0.0118
0.0,0.0117,0.0117
0.0,0.0129,0.0129
0.0,0.0129,0.0129
0.0,0.0128,0.0128
0.0,0.0127,0.0127
0.0,0.0125,0.0125
0.0,0.0124,0.0124
0.0,0.0176,0.0176
0.0,0.0113,0.0113
0.0,0.0091,0.0091
0.0,0.0144,0.0144
0.0,0.0095,0.0095
0.0,0.0078,0.0078
0.0,0.0073,0.0073
0.0,0.0079,0.0079
0.0,0.0086,0.0086
0.0,0.0093,0.0093
0.0,0.01,0.01
0.0,0.0108,0.0108
0.0,0.0117,0.0117
0.0,0.0117,0.0117
0.0,0.0123,0.0123
0.0,0.0125,0.0125
0.0,0.0128,0.0128
0.0,0.0129,0.0129
0.0,0.0132,0.0132
0.0,0.0128,0.0128
